location,transaction_count,total_amount,fraud_count
Williamsonville,2,163.26,0
South Ralph,1,449.70,1
Scotttown,4,204.56,0
South Zacharymouth,3,1409.57,0
South Edwin,2,921.02,0
Karenview,4,556.18,0
South Kristina,1,61.12,1
Bakerfort,1,51.15,1
Leonside,1,2197.51,0
New Tylerburgh,1,5202.57,1
South Patrick,2,5211.05,0
Peterchester,1,37.48,0
Port Michaelfort,1,2393.37,0
Port Heathershire,1,2176.01,0
Port Amberton,1,71.99,0
South Antonioside,2,132.97,0
Kathrynton,4,29949.77,4
Lake Laura,1,294.29,1
Newtonfort,2,289.34,0
New Aliciaborough,1,46.53,0
Port Tamara,2,877.96,0
North Madisonborough,1,160.60,1
Lake Carla,2,82.92,0
South Christyside,3,117.06,0
New Sarahton,2,365.09,0
Wandamouth,2,780.25,0
New Marthaborough,1,21.93,1
Port Julian,3,1382.63,0
Zunigamouth,1,241.96,0
Sarahhaven,3,650.87,0
Maryville,7,481.31,0
New Kimberly,3,468.25,1
Port Tina,2,488.56,1
Peterborough,1,45.06,0
Mariaton,1,478.45,0
West Erinmouth,1,1754.44,0
West Ericatown,1,216.31,0
South Patricialand,1,353.88,0
North Danielle,1,2139.76,0
Sullivanland,1,209.30,1
East David,4,1764.32,0
Reeseberg,2,203.17,0
South Kurtchester,1,1985.39,1
Rosarioton,1,292.42,1
Ryanfurt,1,91.61,1
South Lindsayland,1,419.02,0
South Nathan,1,417.92,0
Fosterfort,2,155.44,0
Lauraville,1,7536.79,1
Tatefurt,1,90.46,0
North Amyland,1,18.79,0
East Kristy,2,561.68,0
Pooleborough,2,542.06,2
Lake Erichaven,1,4724.77,0
Strongfurt,4,171.79,1
North Gregburgh,2,3431.49,0
New Williamstad,1,21.53,0
Letown,1,830.42,0
East Crystalchester,3,231.36,0
North Matthewstad,1,108.46,0
Lake Debbiefurt,1,76.67,1
West Robert,11,6702.98,0
Melindaborough,1,73.70,0
Chloeland,3,136.82,0
Lake Andrewstad,7,9535.08,0
West Melissa,1,1281.31,0
Diazberg,2,456.85,2
Dwayneview,1,520.23,0
East Joseph,1,248.68,0
Sydneystad,1,85.30,0
Glovermouth,6,644.14,0
North Megan,2,265.06,1
Whitemouth,2,4721.91,0
North Ashley,2,2238.93,0
North Natalietown,1,55.09,0
Josephberg,1,78.99,0
North Tylershire,1,78.85,0
New Christophertown,4,439.20,0
Lake Nancy,6,1124.55,0
Morganstad,2,3796.96,0
Alexandriaside,1,364.37,0
Port Traci,1,417.24,1
North Williamchester,1,204.27,0
Lewisland,1,255.75,0
South Amberport,1,39.49,0
Johnsonhaven,2,1343.72,0
"Shorthaven, Brazil",1,419.87,1
Lisastad,2,75.03,0
Robertburgh,3,892.53,0
Williamsonmouth,6,1493.65,0
Greenport,1,40.20,0
East Mistyfurt,1,241.44,1
Deannaville,1,0.01,1
East Anntown,1,203.01,1
East Chadmouth,1,332.28,0
South Chris,1,87.05,0
New Monique,1,56.41,0
Port Cassidy,2,89.81,0
Lake Douglasberg,3,30.63,0
Mitchelltown,1,301.24,1
Schmidtberg,4,4441.17,0
Brownhaven,1,3059.17,0
Hillshire,4,1584.68,0
Oliviashire,2,109.50,2
Kellyville,1,39.64,0
North Tylerberg,1,216.25,1
Claireside,1,59.15,1
Jacksonberg,1,307.82,0
Justinfurt,5,350.83,0
Port Lauren,1,2317.01,0
Jacquelineborough,2,166.37,0
South Megantown,2,561.33,0
New Victoriabury,1,49.19,0
Dennistown,1,78.35,0
Tiffanyport,3,3139.79,0
New Michelle,5,1497.69,0
Jonesfort,3,183.76,0
South Brent,1,114.15,0
Lake Bryantown,1,274.32,0
North Destiny,2,60.19,0
Amandaport,2,691.70,1
South Georgeshire,1,5808.27,1
Port Johnport,2,608.98,0
New Danaton,2,129.75,0
Andersonburgh,1,330.50,1
South Lorrainefurt,1,60.20,0
New Anthony,1,93.66,0
Hannahport,1,0.01,1
West Alanville,2,212.20,0
Ericashire,1,389.99,1
Joshuashire,1,35.62,0
South Taraside,1,20.62,0
Ethanfort,1,197.32,0
North Sheila,2,66.03,0
North Austinchester,1,1326.51,0
Lawrencechester,3,1188.86,0
Jasonport,2,873.23,0
Port Ginatown,2,184.04,2
West Miguel,4,6488.49,0
Lake Robert,6,392.54,2
Paulchester,4,294.16,0
Loritown,1,439.96,0
Michelleburgh,2,14811.16,2
Sandraburgh,1,1387.49,0
Garciaburgh,1,115.08,0
Richardview,3,138.25,1
South Alice,5,475.17,0
Mitchellborough,1,2528.63,0
Dixonbury,2,168.67,0
West Jessica,8,562.55,1
Hensonville,1,113.58,0
Jessicahaven,2,619.63,0
Shahchester,1,42.28,0
Lisabury,1,1896.98,1
Murphyville,1,1456.86,0
Lake Kristina,1,84.17,0
Strongburgh,1,1542.67,1
Floydville,1,76.54,1
Lake Wanda,1,50.34,0
Pinedamouth,1,68.98,0
Lake Tina,4,3273.10,0
Port Sarahchester,1,382.17,0
South Jennifer,1,62.14,0
New Stevenmouth,1,73.43,0
Lake Cory,2,34.47,0
East Amychester,2,597.60,2
Sarachester,2,177.76,0
Lake Brian,2,517.66,1
East Bradley,1,47.45,0
New Stephanie,1,73.42,0
Jesseland,1,18.44,1
West Marilyn,1,994.14,0
Vincentborough,1,62.30,0
New Terryton,5,2583.22,0
South Wesleybury,1,169.97,0
East Brendabury,2,183.20,0
West Christina,2,912.70,0
Matthewstown,4,292.79,4
Greenefort,1,372.01,1
Salinasmouth,1,41.50,0
New Stacey,1,189.29,0
Port Ruben,2,559.19,0
North Jason,2,237.91,1
Ericview,2,1713.61,0
Port Kristenfort,1,436.87,1
North Darrelltown,1,26.26,0
Vanceborough,1,48.93,0
Glassland,1,1592.92,0
Frankbury,1,332.41,0
New Sheilaside,3,185.35,0
Lake Travisborough,2,878.76,0
New Dakotaburgh,1,234.05,1
New Ivanfort,1,421.53,0
Colleenborough,1,2127.13,0
West Kathryn,3,965.08,0
West Tammy,1,98.16,0
Kevinfurt,1,98.85,0
Markland,2,665.74,0
Port Brianport,1,29.83,0
Marybury,5,1875.43,0
Victorland,1,69.58,0
Marquezchester,1,258.60,0
Amyfort,1,320.28,0
Rowlandton,1,2055.22,0
South Donald,2,127.38,0
Dianastad,1,1145.75,0
Port Amandafurt,1,213.40,0
Clinefort,1,61.56,0
Lake Briannastad,1,471.16,1
Reedfurt,1,24.26,0
Port Melanie,1,409.60,0
Jacobshaven,1,12.16,1
New Janiceville,1,1171.89,1
Danielshire,2,544.26,2
Barbaraview,1,5247.18,1
Christopherhaven,3,7129.22,2
New Karlton,1,54.23,0
Riverafort,2,145.08,0
Bartonfort,1,205.43,0
Lisaberg,1,11250.24,1
Lake Erinville,3,966.65,0
Elizabethview,1,8195.64,1
Eileenshire,2,235.63,0
Port Loriville,1,2584.87,0
Kellychester,1,426.04,0
West Joshuatown,3,301.62,0
South Danielfort,1,217.17,0
Port Juanchester,1,249.12,0
Port Brucemouth,1,424.73,0
East Michelleview,2,1601.37,1
North Christiantown,1,1892.68,0
West Mary,3,301.34,0
Port Haydenview,1,183.04,0
Albertberg,1,60.31,0
Conradland,1,87.32,0
Kaylaport,6,13092.63,1
South Janeview,7,560.89,0
West Lanceborough,4,1539.66,0
Mathewview,1,1329.52,0
North Elizabethtown,1,129.69,1
Kimborough,2,146.98,0
North Christopherhaven,1,495.35,0
Ortizville,1,65.06,0
Patricktown,1,237.42,1
Adamport,2,151.17,1
Reynoldstown,1,122.14,1
Newtonbury,3,1121.08,0
Port Edgarstad,1,0.01,0
West Shawn,1,1875.05,0
Wintershaven,3,1079.95,0
South Cynthiafurt,1,68.83,0
Hartstad,3,36.65,0
Walkerhaven,2,427.94,0
Jasmineburgh,1,2045.89,0
Leeberg,2,914.02,2
Port Anita,1,10.12,0
New Reginaton,2,160.10,0
Carsonburgh,1,261.45,0
Port Nicholastown,1,398.49,1
Franciscochester,2,772.67,2
Stephenside,1,415.80,1
Jasonstad,1,2658.69,1
South Stevenmouth,1,40.50,0
Allenport,9,527.15,0
Lake Michellehaven,1,86.22,1
New Shanestad,1,300.69,0
Millerview,2,227.12,0
Lake Amyfort,1,54.71,0
Lake Allisonberg,1,1233.32,0
East Jessicaview,1,17.27,1
Alexside,1,224.00,0
Port Meghan,3,334.54,0
Port Andrew,3,10541.24,2
Hudsonhaven,1,4568.91,0
Jamesfurt,5,4157.62,0
South Rose,1,3470.78,0
East Brittanyborough,1,12.76,1
New Kathleenview,1,689.38,0
Simpsonborough,1,61.40,0
Christopherburgh,2,81.90,0
Jeannebury,1,258.97,1
Calderonborough,3,1242.00,3
Baileyland,1,354.74,0
South Mary,4,26818.47,3
Donnafurt,3,186.30,0
New Erin,1,351.25,1
Garzaberg,2,985.28,0
East Sydney,1,2785.43,0
Alisonborough,1,401.74,1
North Sydneychester,1,187.16,0
Austinport,3,979.17,0
Lake Wendy,2,1312.89,0
Lake Robertfurt,2,63.98,0
West Heatherfort,1,82.64,0
Georgemouth,2,1729.79,1
New Clairefort,1,116.43,0
East Ginatown,2,7445.59,0
Morrisbury,1,39.48,0
New Nicoleton,2,4829.17,2
Barreraville,4,1818.33,0
Lake Michelle,3,917.12,1
Elizabethtown,3,1890.28,1
North Jasonburgh,1,97.16,0
Tinaville,1,194.56,0
West Ryanchester,1,413.55,1
South Chelseachester,5,581.12,0
Michaelland,2,46.13,0
Port Shawn,7,4477.55,0
New Jenniferport,2,187.16,0
Ortizmouth,1,348.83,1
Kleinfort,1,187.06,1
South Cindyberg,1,123.27,0
Meganmouth,9,637.32,0
East Brandonton,1,2171.97,0
South Claudia,1,201.98,0
North Monicaborough,1,211.25,0
Penningtonton,2,730.61,0
North Jacob,5,870.83,0
Angelaville,1,19.25,0
Port Karenport,1,2052.67,0
East Elizabethview,1,333.42,0
Natalieland,1,156.17,1
Port Hollyville,2,125.59,0
East Lisastad,1,130.71,1
Patrickbury,1,2124.70,0
West Austintown,1,195.52,0
Lake Bridget,2,160.45,0
Lake Juan,4,295.74,0
Davisshire,5,2437.25,0
New Nicoleport,2,12330.26,2
Alisonbury,1,51.26,0
Goodmanview,2,414.27,0
Madelinestad,1,64.62,0
Hickmanhaven,1,540.03,0
Carlsonmouth,1,291.31,0
Juliemouth,1,173.82,0
Woodsmouth,1,77.38,0
Gainesbury,1,174.12,0
Port Eric,1,28.97,0
East Karen,4,709.67,1
Lake Lauren,1,368.35,0
Petersmouth,2,123.64,0
South Nicole,6,2711.26,0
Port Craigview,1,263.87,0
South Debra,2,150.91,0
New Monicaview,1,1177.24,0
Port Philip,1,523.21,0
Lake Emily,3,347.09,0
Peterbury,1,64.60,0
North Julia,2,40.53,0
South Derek,3,2758.45,1
East Traceytown,1,1950.43,0
New Dawnfort,1,323.94,0
Raystad,1,115.59,1
Huntmouth,1,463.21,0
Rodrigueztown,3,1019.18,0
Kendrabury,2,490.22,1
Scottside,1,372.96,0
Debbieville,1,480.63,0
West Deborah,2,50.97,0
East Lindsey,1,106.66,0
East Tammy,4,4131.15,0
Flemingmouth,1,271.11,0
Jakeside,1,982.39,0
Romerotown,1,86.82,0
Waltershaven,1,524.13,1
East Lauraberg,1,84.15,0
Amystad,3,181.40,0
South Garyland,2,963.51,0
West Eric,4,857.10,0
West Mason,1,362.60,1
North Anneburgh,4,634.00,0
Villafort,1,579.27,0
Port Dustinport,2,5253.61,0
Tonyberg,1,10843.70,1
Lewisbury,1,68.68,0
Lake Kristinberg,4,544.52,0
North James,7,871.80,2
Brianfurt,2,5389.25,1
Macdonaldborough,1,44.50,0
Port Ashleyside,1,186.19,0
Amandahaven,3,162.38,0
Port Breannatown,2,953.04,2
Ashleymouth,2,83.93,0
Youngfurt,1,327.50,0
Jamesstad,1,397.36,0
Andreaburgh,3,1506.31,0
East Wesley,1,85.20,0
Heatherside,2,749.91,0
New Kathychester,1,54.36,1
Smithberg,7,4947.97,0
South Josephberg,2,1997.18,0
Danielsbury,1,338.55,0
North Diana,1,96.66,0
Veronicaville,1,93.69,0
Hernandezville,1,394.15,1
Nicholashaven,1,193.26,0
Williamschester,3,394.39,0
Lake Timothyfort,1,23.59,0
Bradyview,4,6894.92,0
Cabreraland,1,408.72,0
North Katiemouth,1,482.36,1
Lake Melanieside,1,315.13,0
East Tanya,2,257.39,0
South Kara,1,339.32,0
East Jameschester,1,94.43,1
Lake Colleen,1,491.41,1
North Johnport,2,7546.64,1
Deannafurt,3,164.25,0
Kyleton,1,554.56,0
Wheelerchester,4,173.20,0
Lindsayburgh,1,148.95,0
Jenniferstad,3,17325.17,2
West Danielle,1,97.39,0
West Charles,1,57.91,0
East Edwardton,1,441.50,0
Raymondton,1,382.16,1
South Lawrenceburgh,1,48.60,0
Tyroneport,3,394.75,0
Ryanbury,6,5099.85,0
Alvarezbury,2,517.21,2
Williamshaven,4,1306.00,1
Ochoashire,1,23.99,0
Michaelport,7,948.36,0
Harrishaven,6,2804.12,0
Leebury,2,2900.17,0
Crystalville,1,211.68,0
North Christian,2,408.79,2
Dennisburgh,2,902.54,0
Kaylachester,2,7166.05,2
Brittneyberg,3,9161.84,0
South Sara,1,503.31,0
Reyesborough,2,192.40,0
Lake Taraview,2,1007.83,0
New Lukeview,1,2640.34,0
Perezberg,4,7784.96,0
New Susan,3,355.10,0
West Taylor,1,1770.95,0
Lake Christinaville,5,9334.70,0
New Monicaland,1,218.50,0
Haneymouth,1,292.88,0
Dominguezside,1,94.51,0
Michealside,2,3648.91,0
New Carla,1,259.89,0
Lake Jason,4,593.86,0
Rachaelchester,1,1347.39,1
"Juliashire, Nigeria",1,176.35,1
Walshville,1,99.11,1
West Shane,1,442.97,0
Cummingsland,1,218.69,1
West Jeanfort,5,2511.13,0
Hurleybury,1,64.18,1
Annefort,1,445.47,0
Dixonberg,3,925.87,2
West Douglas,2,510.01,0
Port Michaelstad,1,76.04,0
Gordonhaven,3,8511.20,1
Moorehaven,1,1788.82,1
West Gabriela,2,17.61,0
Lake Kimberlyborough,1,96.74,0
East Waltermouth,3,435.69,0
Lake Ann,1,1074.43,1
New Logan,1,89.19,1
East Steven,2,135.25,0
Norristown,4,11230.20,1
Jeffreyshire,1,2476.31,0
Lake Kevin,2,442.97,0
South Andrewshire,1,1714.35,0
Garrettburgh,2,395.14,0
North Nicholas,1,93.37,0
Normanbury,4,2019.91,0
Lake Amandabury,3,157.29,0
Margaretview,2,93.26,2
Sandovalfurt,1,92.50,0
Catherinefurt,1,815.77,0
Port Alyssa,1,64.94,0
Port Denise,1,41.73,0
Joycechester,1,1455.83,0
New Robertberg,2,370.32,0
Nicolasmouth,1,197.81,0
New Kyle,4,1441.77,1
Schmidthaven,2,715.70,0
North Leon,1,6124.47,1
Lake Ryanside,1,299.39,0
Tuckerbury,3,548.02,0
East Melissa,2,510.94,0
South Audrey,1,55.02,0
Patriciaville,1,150.58,0
South Gary,1,2388.22,0
Murphyhaven,1,1457.80,1
Ryanhaven,1,132.20,0
Clarkefort,1,400.00,0
West Jefferyville,2,105.72,0
East Juanfort,1,118.80,0
Port Peter,2,268.53,0
Port Julie,3,1028.30,1
West Colleenfurt,1,2435.28,1
Port Robert,4,652.50,1
South Brandyfort,2,366.63,0
New Dana,1,207.41,0
New Samuel,2,94.23,0
Atkinsonview,1,8.03,0
Lauraborough,2,18.51,0
Stephanieville,1,2755.46,0
Kathleenland,1,63.67,0
South Erinfort,1,98.16,1
Port Jeffreyshire,1,5199.17,1
Leeside,1,457.90,0
Lake Scottview,1,2589.76,0
Lopezberg,2,442.94,0
West James,2,907.39,1
West Tammymouth,1,49.73,0
Lake Kristinebury,3,224.80,0
Chelseachester,1,404.72,1
West Paul,1,1558.42,0
North Justinstad,2,127.19,0
Perezville,1,404.18,0
Avilamouth,6,174.47,0
Johnbury,1,2768.55,1
Watsonfurt,1,75.82,0
New Michelleshire,2,70.45,0
Jasonfurt,2,1966.77,1
West Billyburgh,1,1171.27,0
Port Robertview,1,485.77,0
East Christinaton,1,2986.98,0
Port Meaganchester,3,1045.53,0
North Tracybury,2,653.57,0
Port Thomas,1,195.33,0
Carrfurt,1,42.37,0
East Alexandriashire,1,23.79,1
Fisherstad,2,970.41,0
South Julieshire,1,7194.12,1
Petershire,2,309.27,0
Lake Dominique,3,955.88,0
Lake Josemouth,1,314.71,0
Jameston,1,240.52,0
North Amberberg,2,552.88,0
West Sandramouth,1,405.25,1
Danielleberg,6,2843.14,0
Lake Davidchester,1,772.58,1
Nelsonfurt,8,459.72,0
North Josephside,2,679.31,0
Mitchellmouth,2,507.44,0
Lake Davidberg,1,404.32,1
Ryanstad,1,255.20,0
Lake Laurieview,1,308.72,1
Laurafort,1,379.55,1
Lake Andrewberg,1,143.65,0
Carterfurt,2,948.32,0
North Vickiport,1,268.31,0
South Meganbury,3,1061.34,0
Andrewhaven,2,685.01,0
Carolynland,1,70.31,0
Millerstad,1,1925.14,0
Cooperport,1,9609.37,1
Toddville,3,801.84,0
West Christine,1,76.41,0
West Juliemouth,1,5904.04,1
Port Nicolefort,2,5051.98,0
South Gerald,2,2557.61,0
Port Sandra,2,462.20,0
Kathyport,2,2845.86,0
New Matthewmouth,1,2378.96,0
Travisberg,4,524.51,0
South Brandon,1,115.76,1
Lake Frankchester,1,216.47,0
Lake Nathan,2,1358.68,0
Sandraview,1,151.05,0
Roblesberg,1,201.23,1
Sanfordmouth,1,355.40,0
Griffithshire,1,223.71,1
East Brentmouth,3,599.38,0
East Kylestad,2,1676.04,0
Hicksshire,1,22.38,0
North Jenniferbury,1,27.71,0
East Kaylafort,4,597.00,0
Jasonmouth,4,16022.90,2
Natalieton,2,472.05,0
Tonyshire,1,491.27,1
Blakemouth,2,93.27,0
West Karenshire,1,742.98,0
Hoffmantown,1,522.00,0
Barrville,1,5.51,0
Rodriguezside,3,224.93,0
Alexandriaton,2,903.03,0
Kingshire,2,932.18,0
Bartonberg,2,566.43,1
West Christopher,6,34153.33,5
Ortizbury,1,213.24,1
West Bryanstad,2,118.13,0
Jessicatown,1,6202.18,1
South Davidville,9,2020.97,0
New Josephberg,5,279.80,0
Port Margaret,1,95.21,0
Port Susanmouth,4,4164.60,0
North Scottmouth,2,811.77,0
Reyeschester,1,358.60,0
Lake Keith,1,34.81,0
Washingtonfurt,1,82.89,0
South Carrie,2,119.54,2
Mitchellport,1,241.01,0
Crawfordshire,1,1735.19,0
Marshallmouth,3,519.60,0
Kaisertown,6,1203.33,0
Port Brett,1,127.84,0
North Cindy,1,408.35,0
Moranview,2,8292.88,1
West Tommyville,1,524.85,0
Lake Kathleen,3,491.71,2
North Leslie,1,342.24,0
East Curtisport,2,3062.45,0
East Ernest,2,2297.76,1
Sanchezberg,3,189.91,0
New Matthew,6,4393.65,0
Lake Sarah,1,71.71,0
Wolfville,5,34580.09,5
West Kimberlyshire,1,8136.36,1
Walterfurt,1,129.79,1
South Jamesberg,1,68.44,0
Kimview,1,66.72,0
Port Emmaburgh,2,116.39,0
Hansenborough,1,1812.61,0
Walkerfurt,1,90.62,0
Guerrachester,1,82.02,0
Morrismouth,3,776.05,0
West Michealside,1,6861.90,1
Churchbury,2,101.48,0
Port Wandatown,2,326.12,0
Simsmouth,1,362.59,0
Lake Jeremy,1,178.90,0
Colemanburgh,2,5930.80,0
Lake Craigborough,1,2606.32,0
Port Kelseystad,4,193.38,0
Port Craig,2,193.28,0
New Marissa,2,953.30,2
North Leestad,1,330.48,0
East Miguel,1,9.45,0
Shawmouth,1,429.93,0
Floresville,3,727.18,0
Michaelton,1,42.92,0
Port Nicolemouth,1,657.08,0
Richardmouth,6,800.87,0
South Mariahaven,1,2165.67,0
Port Davidfurt,1,25.34,0
Port Danny,1,3575.47,1
South Ashleyshire,2,116.30,1
South Timothyview,1,1231.48,1
South Ruthberg,1,7250.43,1
Reedtown,6,1090.49,0
Suzanneburgh,1,379.35,0
Aaronview,1,1019.08,1
Timothyhaven,2,4269.23,0
Emilyfort,1,280.65,1
Millsport,1,4195.59,0
South Katherinebury,1,67.01,1
East Colinchester,3,166.36,0
South Nicholasmouth,2,87.57,0
Port Davidville,1,1138.93,0
West Johnland,4,1837.00,1
Williamburgh,5,3325.98,0
Hillview,3,6938.74,1
South Charleshaven,2,646.01,0
West Thomashaven,1,767.33,0
Jacquelineberg,1,2983.46,0
East Jonathon,6,2162.52,0
North Christina,3,2270.51,0
South Emilyfurt,2,164.29,0
Lake Anitahaven,4,1283.12,0
Frederickport,1,1766.48,0
Beasleychester,4,72.19,0
Mooreborough,1,1554.31,1
North Cynthiaberg,1,38.56,0
Garciaview,2,9565.83,1
Curryview,1,1834.50,0
Marcustown,3,200.35,0
Wongmouth,1,128.89,0
Port Adrian,1,24.38,0
Port Gloriaborough,1,333.08,1
North Christineberg,1,97.99,1
West Christopherhaven,3,4572.38,0
Trevorland,2,159.21,0
Teresashire,1,76.92,0
North Miguelland,1,222.62,0
Wellsberg,4,1919.44,0
Murilloborough,1,133.66,0
Port Victoriaside,2,902.42,2
Lake Melanie,1,72.28,0
Patrickfort,2,116.46,0
West Marie,1,814.74,0
West Juan,1,551.14,0
Williamsbury,3,389.06,0
South Brian,3,3200.83,0
East Christinaberg,1,1921.07,0
New Jonathan,1,146.75,0
North Michaelmouth,4,1553.11,0
East Sarahmouth,1,464.04,1
North Elizabethmouth,3,354.41,2
East Andreamouth,3,269.99,0
South Mirandamouth,1,359.31,0
Port Alexandraburgh,1,55.74,0
North Kimberlybury,3,1584.50,0
Morganshire,1,25.78,0
New Colleen,1,261.03,0
Ortegachester,1,1965.40,0
East Shawnshire,2,602.76,0
Sharonland,2,614.66,0
Michaeltown,1,93.51,0
Francisbury,1,117.88,0
North Brandonland,1,52.62,0
New Sonia,1,157.39,0
West Randall,1,88.40,0
Victoriachester,2,520.62,0
Meganbury,1,366.23,0
Port Benjamin,3,4848.96,1
West Debrahaven,1,430.93,0
Christinamouth,3,1214.43,0
Alexandermouth,1,2586.62,1
Sawyermouth,1,307.15,0
Emilyport,2,562.04,0
New Jamesberg,2,4711.61,0
Goldenberg,4,2396.03,0
New Rebeccaland,1,4191.29,0
Port Brenda,2,972.37,0
South Mariatown,1,83.14,0
Port Jeremy,1,262.27,0
New Richardburgh,1,2043.53,0
New Douglasview,3,866.04,0
Samanthamouth,2,2164.31,1
Valeriemouth,2,124.05,0
Amyburgh,1,487.96,0
East Suzanne,1,35.03,0
South Daisy,3,4297.52,0
Millerfurt,1,15.96,0
Port Sydneyberg,2,100.71,0
Caldwellfort,1,3252.90,0
Petersonfort,1,65.66,0
South Richardfort,5,323.11,0
Port Martin,1,501.45,0
"Mcintoshtown, Brazil",1,265.83,1
Chadfort,2,337.95,0
Holmesfort,1,80.95,1
Port Bradley,1,314.30,0
Gilbertstad,1,30.11,0
Loweryport,1,3941.21,1
Schultzmouth,6,436.64,0
"New Jacob, Russia",1,158.17,1
Henryberg,1,1753.64,0
Johnburgh,1,14.42,1
Newmanshire,4,763.26,0
Port Kevin,1,1587.31,1
Joannhaven,1,2114.17,0
North Kristina,1,8137.62,1
Wrightchester,6,14727.97,0
Kimburgh,1,1138.84,0
Brookefort,2,9016.57,1
North Anaborough,1,201.72,0
West Paigeberg,2,2606.64,0
East Robinfort,3,137.81,0
Morrisberg,2,403.17,2
North Hannahmouth,4,850.44,0
Port Jameshaven,1,262.36,0
Clarkport,1,411.74,0
Martinezfort,3,876.59,3
Derekside,1,0.01,0
Robertmouth,4,1847.33,0
Jillchester,1,175.22,0
Jessicafort,1,567.66,1
South Jeffreyfort,2,475.17,0
Rossburgh,1,1571.89,0
Lake Bob,3,1382.39,0
North David,3,168.69,1
Palmerbury,1,31.96,0
Brettchester,1,63.93,1
Peggyside,1,56.68,0
North Amy,3,975.96,1
Port Dannymouth,3,4834.44,0
Lake Zachary,2,983.69,0
Kurtborough,1,344.06,0
Melissamouth,1,1770.56,0
South Maryton,7,1552.15,0
Crawfordfort,1,7329.96,1
North Robertbury,1,274.50,0
New Anthonyview,1,192.72,0
New Lisa,6,6481.58,0
Robertsshire,3,840.85,0
North Brenda,1,44.57,0
North Andrewstad,5,1343.20,0
Zacharyberg,1,55.17,0
Elizabethstad,5,1250.86,0
South Amberfurt,1,2809.17,0
New Melissaview,1,57.55,0
Jasmineside,1,62.35,0
North Amber,2,138.75,0
New Kristinland,4,1079.41,0
North Jasonton,1,1960.65,0
West Jose,1,280.34,0
Campbellfort,4,9461.89,0
South Amberhaven,1,69.75,0
Dennisview,4,2485.22,0
New Christopher,7,9139.78,0
East Michelle,1,448.10,0
Barronbury,1,155.03,1
Kylebury,1,426.88,1
Meganberg,4,266.47,0
Port Miatown,2,220.83,0
Coryfurt,3,203.85,0
Jacksonbury,1,74.51,1
Coryport,1,41.71,0
Austinshire,1,513.77,0
Lake Leslieshire,5,223.47,0
Murphychester,3,576.38,0
Port Kellyton,1,197.56,0
New Katiemouth,1,68.55,0
Port Dana,4,1654.17,0
Catherinefort,3,1416.85,0
Lewisside,2,348.70,0
South Christina,1,161.26,0
Debbieside,3,210.71,1
Port Tammyland,2,61.52,0
Jordanmouth,3,103.68,0
North Melissa,1,67.94,0
New Lindaberg,1,14.44,0
Carsonfurt,2,107.04,0
Christinemouth,1,98.31,0
Aguirreland,1,47.99,0
North Philliptown,1,374.56,0
Browningport,1,1709.65,0
Stephenville,2,382.67,0
Karlafurt,3,959.47,0
Lake Michaelville,5,238.27,0
New Jason,6,16905.63,0
Colleenfurt,2,816.04,1
Doughertyfort,1,418.59,0
Suarezton,2,130.26,0
Danaborough,1,64.95,0
Lake Kristenshire,2,758.79,2
Port Patrickstad,2,2137.68,0
Port Coreyland,1,8757.36,1
Robertshire,3,3934.43,0
Brownmouth,2,862.26,1
North Trevorside,3,72.23,3
North Lonniefort,1,27.58,0
Lake Jimmy,2,473.67,0
East Brandonport,3,300.28,3
South Xavierview,2,751.22,0
New Gregoryburgh,1,86.47,0
Jennifermouth,4,872.61,0
Andrewberg,1,60.82,0
Lloydland,3,485.26,0
Wilsonfort,5,2442.06,0
Brandyberg,1,63.83,0
Smithburgh,1,36.25,0
West Audreymouth,1,97.53,1
Wadetown,2,60.72,0
Cheryltown,1,255.05,0
North Mallory,1,98.71,0
Barbarafort,1,336.05,0
Jacksonport,3,2089.01,0
Hayneston,1,355.37,0
Jonview,1,424.07,1
Lake Erikside,1,297.20,0
Nicolestad,3,754.95,0
South Michelleland,2,189.56,0
Barbaraburgh,2,133.15,0
South Edward,2,5382.03,0
Riveraside,3,1793.42,0
Stacyberg,1,452.08,1
Wilsonberg,5,63.03,0
South Dean,1,78.46,0
Gilbertmouth,3,181.64,0
New Scott,8,11157.99,2
West Andrew,1,1.41,0
North Brent,2,126.55,0
South Brendaberg,2,353.65,2
East Pamelamouth,2,593.68,0
Amyfurt,1,118.44,0
Lake Antoniochester,1,21.47,0
Cookechester,1,117.36,0
Sheltonstad,3,1634.62,0
Josephmouth,7,5525.21,0
South Timothy,5,1606.84,0
North Lisa,1,320.16,1
Port Anthony,1,451.32,0
West Jerrytown,1,75.03,0
Haleyberg,1,35.78,0
West Nicoleville,1,32.30,0
South Robertton,3,7067.11,3
New Masonberg,1,1323.34,0
Port Jonathanton,1,1105.77,0
Ronaldmouth,2,6151.53,0
Lukestad,4,1912.75,0
North Jesseburgh,2,55.68,0
South Jonathantown,1,797.61,0
West Jessicaview,1,384.41,1
Pamelaville,2,538.87,0
Baldwinport,2,4968.12,0
Port Megan,1,393.13,1
North Joshualand,1,53.22,0
Natalietown,3,846.64,0
New Patriciaton,3,387.49,0
Valdezville,2,1546.20,2
Sanchezmouth,4,226.71,0
Patrickmouth,1,485.83,0
South Sarah,5,2072.58,0
Pruittside,1,336.40,0
Bryanport,1,851.63,0
North Edward,2,183.94,0
Ericchester,2,702.93,0
Cooperview,4,355.89,0
South Heatherton,2,55.70,0
West Alisha,1,38.54,0
